Class,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1,0.131056019,-0.042041415,0.886477767,5.267131932,0.524260042,0.59858433
1,0.178063133,-0.005944877,0.888551075,2.664586963,0.741470224,2.981169766
1,-0.029369952,-0.032591929,0.871264168,5.228298193,2.711333043,5.626052593
1,0.207349067,0.152947442,0.956231474,2.02203106,3.696266947,6.033682906
1,0.033714263,0.003595989,0.838588988,3.500513174,5.268386767,5.160367527
1,0.086891229,0.131031063,0.995265857,-0.04712898,3.165104393,4.358769618
1,0.058882847,0.004274296,1.092658353,3.009508161,5.339414126,-5.759092928
1,0.035692851,0.036417824,0.930636973,5.868500664,1.887583774,4.907649185
1,-0.094622769,-0.31860312,0.863033642,7.669574211,4.97832367,-6.147254987
1,-0.111982452,0.121096535,0.937017438,3.713278435,0.961831495,-2.349603463
1,-0.114553048,-0.109441401,1.047374448,9.12160643,1.260955837,-5.272028142
1,-0.058157016,0.090932651,1.060109022,6.7053251,0.22955833,-3.222770263
1,0.116528207,0.079168124,1.03755525,2.8369489,-2.124284681,-3.552763534
1,0.013214768,-0.020585587,1.198495977,-1.088916346,-2.568799988,-5.104434636
1,0.073566167,-0.003830769,1.009412342,1.114687255,-2.443659834,-2.739897251
1,-0.057548349,-0.266635858,0.978281977,3.829057202,0.762235989,-9.707384246
1,-0.208481979,0.02204187,0.993003037,-14.16292935,-4.901042997,-11.67901271
1,0.082996245,-7.50137E-06,0.983910301,1.466044049,-2.474739539,0.504644194
1,-0.017850907,0.019972375,1.089798148,3.265761815,3.86373027,10.63547499
1,-0.01291043,-0.092522946,1.073959523,0.201427466,0.325582431,10.23640069
1,0.153934118,0.006245383,1.043037689,2.675199173,-1.451271891,1.730576142
1,0.011797689,-0.001377663,1.028142613,-0.545092963,-2.596912332,2.477635316
1,-0.115411285,-0.099913691,0.964273375,-1.552411979,-3.564655565,-0.687903271
1,0.21762727,-0.161001057,1.026819951,-2.231421012,-1.669270903,-0.943996747
1,-0.311632588,0.026827666,1.082843527,-0.96634524,-2.19835844,-2.373453115
1,-0.040991598,0.117572623,0.960414661,-1.783217375,-0.986772798,-3.219287622
1,-0.003721408,-0.135645928,0.732180415,-0.398475949,-0.627309441,-3.933640707
1,-0.044348782,-0.059931237,1.064127919,-1.051148865,-0.959240812,-4.489292559
1,0.065203884,-0.102347888,0.745687939,-0.291905765,-0.356041743,-1.621670486
